"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","playerid"
"Daniel Hudson","Nationals","3","2","10","21","0","20.2","12.19","4.79","2.61",".205","68.0%","18.4%","21.4%","91.3","6.10","6.29","5.13","-0.4","7146"
"Dylan Cease","White Sox","5","4","0","12","12","58.1","6.79","5.25","1.85",".238","81.7%","39.8%","18.2%","89.8","4.01","6.36","5.87","-0.4","18525"
"Hector Rondon","Diamondbacks","1","0","0","23","0","20.0","10.35","4.95","2.70",".339","66.4%","35.5%","24.0%","91.5","7.65","6.59","5.10","-0.4","2391"
"Shun Yamaguchi","Blue Jays","2","4","0","17","0","25.2","9.12","5.96","2.10",".319","57.0%","39.2%","18.8%","89.1","8.06","6.43","5.79","-0.4","27460"
"Rony Garcia","Tigers","1","0","0","15","2","21.0","6.00","3.86","3.00",".273","57.9%","33.3%","24.1%","90.0","8.14","7.48","5.81","-0.4","20430"
"Tanner Roark","Blue Jays","2","3","0","11","11","47.2","7.74","4.34","2.64",".329","70.3%","35.9%","20.3%","89.2","6.80","6.86","5.84","-0.4","8753"
"Zack Godley","Red Sox","0","4","0","8","7","28.2","8.79","4.40","2.83",".371","71.1%","40.8%","23.7%","88.9","8.16","7.10","5.57","-0.4","14862"
"Reynaldo Lopez","White Sox","1","3","0","8","8","26.1","8.20","5.13","3.08",".264","73.2%","34.6%","22.0%","91.1","6.49","7.63","6.19","-0.5","16400"
"Brandon Bielak","Astros","3","3","0","12","6","32.0","7.31","4.78","2.53",".319","70.5%","36.3%","21.4%","87.7","6.75","7.00","5.88","-0.5","19866"
"Joe Jimenez","Tigers","1","3","5","25","0","22.2","8.74","2.38","2.78",".295","64.9%","30.9%","24.1%","92.1","7.15","6.72","5.17","-0.5","15761"
"Madison Bumgarner","Diamondbacks","1","4","0","9","9","41.2","6.48","2.81","2.81",".266","73.2%","31.9%","22.0%","89.5","6.48","7.18","5.85","-0.5","5524"
"Ryan Castellani","Rockies","1","4","0","10","9","43.1","5.19","5.40","2.49",".207","74.2%","37.6%","21.1%","90.9","5.82","7.78","6.72","-0.6","16377"
"Steven Matz","Mets","0","5","0","9","6","30.2","10.57","2.93","4.11",".341","58.6%","32.6%","37.8%","91.5","9.68","7.76","4.15","-0.7","13361"
"Julio Teheran","Angels","0","4","0","10","9","31.1","5.74","4.60","3.45",".273","54.7%","35.5%","27.3%","89.0","10.05","8.62","6.35","-0.9","6797"
