pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CU,2019-09-24,79.5,-3.24,5.42,Max Scherzer,514917,453286,,called_strike,,,,,4,,R,L,R,WSH,PHI,S,,,1,0,2019,0.96,-0.47,-0.33,2.46,,,,2,5,Top,,,,,543228,,190925_003905,4.563275816,-115.5657197,1.153073455,7.621492217,22.07699875,-36.76375783,3.3,1.48,,,,78.8,2586,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.59,,,,,,,,38,2,Curveball,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019-09-24,92.2,-3.28,5.34,Max Scherzer,514917,453286,,ball,,,,,14,,R,L,R,WSH,PHI,B,,,0,0,2019,-1.13,1.2,0.53,1.2,,,,2,5,Top,,,,,543228,,190925_003849,11.93519816,-133.5111153,-7.152583259,-15.78669249,27.4602344,-16.80023746,3.34,1.56,,,,91.2,2356,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.62,,,,,,,,38,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
SL,2019-09-24,83,-3.53,5.06,Max Scherzer,605400,453286,strikeout,called_strike,,,,,5,Aaron Nola called out on strikes.  ,R,R,R,WSH,PHI,S,2,,0,2,2019,0.6,-0.09,0.06,2.19,,,,1,5,Top,,,,,543228,,190925_003811,7.028945301,-120.7125072,0.081285533,4.417554041,23.24571977,-33.29494428,3.11,1.33,,,,82.5,2430,6,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.51,,,0,1,0,0,,37,3,Slider,2,4,4,2,4,2,4,2,Standard,Standard
SL,2019-09-24,84,-3.52,5.16,Max Scherzer,605400,453286,,swinging_strike,,,,,9,,R,R,R,WSH,PHI,S,,,0,1,2019,0.5,0.08,0.62,2.03,,,,1,5,Top,,,,,543228,,190925_003750,8.529674639,-122.101029,-1.006733467,3.33243282,22.88665606,-31.39928697,3.29,1.51,,,,83.5,2424,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.62,,,,,,,,37,2,Slider,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019-09-24,92.6,-3.35,5.28,Max Scherzer,605400,453286,,called_strike,,,,,9,,R,R,R,WSH,PHI,S,,,0,0,2019,-1.22,1.14,0.36,2.07,,,,1,5,Top,,,,,543228,,190925_003736,12.01043795,-134.284513,-4.818574728,-17.18404078,27.73562801,-17.66970444,3.32,1.53,,,,92.2,2400,6.1,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.39,,,,,,,,37,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
CH,2019-09-24,83.9,-3.45,5.2,Max Scherzer,595284,453286,strikeout,called_strike,,,,,8,Andrew Knapp called out on strikes.  ,R,L,R,WSH,PHI,S,2,,1,2,2019,-1.24,-0.01,0.11,1.62,,,,0,5,Top,,,,,543228,,190925_003704,10.61613707,-121.8362492,-1.887557078,-14.26425909,21.02938046,-32.1470929,3.17,1.42,,,,84,1576,6.2,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.31,,,0,1,0,0,,36,4,Changeup,2,4,4,2,4,2,4,2,Infield shift,Standard
CH,2019-09-24,83,-3.28,5.33,Max Scherzer,595284,453286,,ball,,,,,14,,R,L,R,WSH,PHI,B,,,0,2,2019,-1.27,0.23,0.25,0.62,,,,0,5,Top,,,,,543228,,190925_003640,10.51006373,-120.490922,-4.770120373,-14.2530285,20.54060542,-29.31734272,3.09,1.39,,,,83.1,1322,6.2,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.27,,,,,,,,36,3,Changeup,2,4,4,2,4,2,4,2,Infield shift,Standard
FC,2019-09-24,89.3,-3.45,5.23,Max Scherzer,595284,453286,,foul,,,,,2,,R,L,R,WSH,PHI,S,,,0,1,2019,0.02,0.82,0.19,2.97,,,,0,5,Top,,,,,543228,,190925_003605,8.827380627,-129.8752373,-1.305798995,-1.382769834,24.20228687,-22.89330292,3.23,1.56,,,,89,2468,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.6,,,,,,,,36,2,Cutter,2,4,4,2,4,2,4,2,Infield shift,Standard
CU,2019-09-24,76.9,-3.18,5.56,Max Scherzer,595284,453286,,called_strike,,,,,13,,R,L,R,WSH,PHI,S,,,0,0,2019,1,-0.48,-0.89,1.52,,,,0,5,Top,,,,,543228,,190925_003546,3.039350564,-111.8881123,-0.749351576,7.768909472,19.16177597,-36.27234169,3.23,1.51,,,,76.3,2741,5.8,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.73,,,,,,,,36,1,Curveball,2,4,4,2,4,2,4,2,Infield shift,Standard
FF,2019-09-24,95.4,-3.22,5.22,Max Scherzer,596748,453286,field_out,hit_into_play,,,,,12,Maikel Franco flies out to left fielder Juan Soto.  ,R,R,R,WSH,PHI,X,7,fly_ball,1,2,2019,-0.8,1.29,0.3,3.89,,,,2,4,Top,59.13,109.24,,,543228,,190925_002056,11.02875072,-138.5690151,-0.796380348,-12.603012,29.02808615,-15.46986331,3.23,1.48,261,90.8,51,95.6,2490,6.3,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.16,0.008,0.006,0,1,0,0,3,29,4,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard
